TestCase	Operationalization	ModelSize	TGG	ExecutionTime	InitTime	ExecutionRank	InitRank
0311-2111	FWD_OPT	2000	CompanyToIT	1.16240619831E11	1.830131061E9	2	2
0311-0428	FWD_OPT	2000	CompanyToIT	1.5E11	1.5E11	8	8
0309-1931	FWD_OPT	2000	CompanyToIT	1.5E11	1.5E11	8	8
0303-0631	FWD_OPT	2000	CompanyToIT	1.5E11	1.5E11	8	8
0306-0227	FWD_OPT	2000	CompanyToIT	1.5E11	1.5E11	8	8
0310-0436	FWD_OPT	2000	CompanyToIT	1.5E11	1.5E11	8	8
0311-0003	FWD_OPT	2000	CompanyToIT	1.5E11	1.5E11	8	8
0308-0220	CO	1000	ClassInhHier2DB	1.248188539E9	1.855565495E9	2	1
0311-0428	CO	1000	ClassInhHier2DB	1.386151219E9	1.883961301E9	6	2
0303-0631	CO	1000	ClassInhHier2DB	1.318110247E9	1.90639716E9	4	3
0311-0003	CO	1000	ClassInhHier2DB	1.226608805E9	1.919806076E9	1	4
0309-1931	CO	1000	ClassInhHier2DB	1.282061063E9	1.935715801E9	3	5
0311-2111	CO	1000	ClassInhHier2DB	1.441954137E9	1.943551353E9	7	6
0306-0227	CO	1000	ClassInhHier2DB	1.344664657E9	1.99638948E9	5	7
0310-0436	CO	1000	ClassInhHier2DB	1.471386101E9	2.008822106E9	8	8
0303-0631	FWD_OPT	2000	FamiliesToPersons_V1	2.212089748E9	1.62652858E9	7	1
0309-1931	FWD_OPT	2000	FamiliesToPersons_V1	2.082626311E9	1.63714162E9	2	2
0308-0220	FWD_OPT	2000	FamiliesToPersons_V1	2.038890391E9	1.646482447E9	1	3
0310-0436	FWD_OPT	2000	FamiliesToPersons_V1	2.113900526E9	1.662569213E9	4	4
0306-0227	FWD_OPT	2000	FamiliesToPersons_V1	2.189440072E9	1.674850029E9	6	5
0311-0428	FWD_OPT	2000	FamiliesToPersons_V1	2.114905467E9	1.677307218E9	5	6
0311-2111	FWD_OPT	2000	FamiliesToPersons_V1	2.102856002E9	1.679813586E9	3	7
0311-0003	FWD_OPT	2000	FamiliesToPersons_V1	2.242235435E9	1.697452237E9	8	8
0311-0428	CC	4000	FeatureModelConciseToSafe	1.3319868682E10	2.095435683E9	7	1
0311-2111	CC	4000	FeatureModelConciseToSafe	1.0484561101E10	2.101053094E9	2	2
0309-1931	CC	4000	FeatureModelConciseToSafe	1.2815579933E10	2.132790009E9	5	3
0311-0003	CC	4000	FeatureModelConciseToSafe	1.1133281789E10	2.140767536E9	3	4
0308-0220	CC	4000	FeatureModelConciseToSafe	5.914322516E9	2.148764306E9	1	5
0306-0227	CC	4000	FeatureModelConciseToSafe	1.1877110591E10	2.153362236E9	4	6
0310-0436	CC	4000	FeatureModelConciseToSafe	1.4079440004E10	2.161863615E9	8	7
0303-0631	CC	4000	FeatureModelConciseToSafe	1.3165457458E10	2.207500372E9	6	8
0311-0428	BWD_OPT	500	BlockCodeAdapter	1.246357835E9	2.268536685E9	4	1
0308-0220	BWD_OPT	500	BlockCodeAdapter	1.227612464E9	2.309356564E9	2	2
0311-0003	BWD_OPT	500	BlockCodeAdapter	1.339799884E9	2.314781966E9	6	3
0303-0631	BWD_OPT	500	BlockCodeAdapter	1.374619619E9	2.316125167E9	8	4
0311-2111	BWD_OPT	500	BlockCodeAdapter	1.234687253E9	2.326866925E9	3	5
0306-0227	BWD_OPT	500	BlockCodeAdapter	1.346484671E9	2.327749563E9	7	6
0309-1931	BWD_OPT	500	BlockCodeAdapter	1.249915329E9	2.442975756E9	5	7
0310-0436	BWD_OPT	500	BlockCodeAdapter	1.141006156E9	2.4581987E9	1	8
0303-0631	INCREMENTAL_FWD	2000	ProcessCodeAdapter	2.5531507E7	3.476639594E9	3	1
0311-0428	INCREMENTAL_FWD	2000	ProcessCodeAdapter	2.4196004E7	3.562038262E9	2	2
0309-1931	INCREMENTAL_FWD	2000	ProcessCodeAdapter	2.6445791E7	3.588919812E9	6	3
0311-0003	INCREMENTAL_FWD	2000	ProcessCodeAdapter	2.9721901E7	3.610025299E9	7	4
0311-2111	INCREMENTAL_FWD	2000	ProcessCodeAdapter	3.0230786E7	3.637928896E9	8	5
0308-0220	INCREMENTAL_FWD	2000	ProcessCodeAdapter	2.6104111E7	3.646056951E9	5	6
0310-0436	INCREMENTAL_FWD	2000	ProcessCodeAdapter	2.59848E7	3.706511253E9	4	7
0306-0227	INCREMENTAL_FWD	2000	ProcessCodeAdapter	2.0417851E7	3.743792881E9	1	8
0309-1931	INCREMENTAL_BWD	1000	ProcessCodeAdapter	1.6529367E7	3.35971954E9	1	1
0311-2111	INCREMENTAL_BWD	1000	ProcessCodeAdapter	2.1010553E7	3.54548067E9	6	2
0306-0227	INCREMENTAL_BWD	1000	ProcessCodeAdapter	2.0963084E7	3.548500627E9	5	3
0303-0631	INCREMENTAL_BWD	1000	ProcessCodeAdapter	1.54808069E8	3.553385499E9	8	4
0311-0003	INCREMENTAL_BWD	1000	ProcessCodeAdapter	2.0177519E7	3.569568055E9	3	5
0310-0436	INCREMENTAL_BWD	1000	ProcessCodeAdapter	4.662502E7	3.578412397E9	7	6
0308-0220	INCREMENTAL_BWD	1000	ProcessCodeAdapter	2.0928019E7	3.597640995E9	4	7
0311-0428	INCREMENTAL_BWD	1000	ProcessCodeAdapter	1.8153952E7	3.599695353E9	2	8
0311-0003	FWD_OPT	1000	BlockCodeAdapter	2.267230688E9	2.653771909E9	3	1
0311-2111	FWD_OPT	1000	BlockCodeAdapter	2.340602127E9	2.674668284E9	5	2
0303-0631	FWD_OPT	1000	BlockCodeAdapter	3.010287183E9	2.722831079E9	7	3
0306-0227	FWD_OPT	1000	BlockCodeAdapter	2.774363637E9	2.77985575E9	6	4
